Code	Category	Decision_FW
PF64z	7	exclusion code
PF6B	7	exclusion code
PF6B0	7	exclusion code
PF6B1	7	exclusion code
PF6B3	7	exclusion code
PF6C	7	exclusion code
PF6B	7	exclusion code
PF6B0	7	exclusion code
PF6B1	7	exclusion code
PF6B3	7	exclusion code
PF6C	7	exclusion code
PF6C6	7	exclusion code
PF6E	7	exclusion code
PF6v	7	exclusion code
PF6w	7	exclusion code
PF6x	7	exclusion code
PF6y	7	exclusion code
PF6y0	7	exclusion code
PF6y1	7	exclusion code
PF6y4	7	exclusion code
PF6y5	7	exclusion code
PF6y6	7	exclusion code
PF6y7	7	exclusion code
PF6yz	7	exclusion code
PGy2	7	exclusion code
PGy20	7	exclusion code
PGy21	7	exclusion code
PGy23	7	exclusion code
PGy24	7	exclusion code
PGy25	7	exclusion code
PGy26	7	exclusion code
PGy27	7	exclusion code
PGy3	7	exclusion code
PKyB	7	exclusion code
PKyC	7	exclusion code
PKyH	7	exclusion code
PKyK	7	exclusion code
PKyL	7	exclusion code
PKyN	7	exclusion code
PKyz6	7	exclusion code
Pyu04	7	exclusion code
Pyu80	7	exclusion code
Pyu8N	7	exclusion code
Pyu8Q	7	exclusion code
N363	7	exclusion code
N3630	7	exclusion code
N3631	7	exclusion code
N3632	7	exclusion code
N3633	7	exclusion code
N3634	7	exclusion code
N3635	7	exclusion code
N363z	7	exclusion code
N366	7	exclusion code
N366	7	exclusion code
N3660	7	exclusion code
N3680	7	exclusion code
N3681	7	exclusion code
N36y0	7	exclusion code
N36yB	7	exclusion code
N36yC	7	exclusion code
N36yD	7	exclusion code
N36yE	7	exclusion code
N36yF	7	exclusion code
N386	7	exclusion code
N310D	7	exclusion code
N310E	7	exclusion code
N310F	7	exclusion code
N310G	7	exclusion code
N310H	7	exclusion code
N310x	7	exclusion code
N0861	7	exclusion code
N086z	7	exclusion code
N3342	7	exclusion code
N3343	7	exclusion code
N3346	7	exclusion code
N0855	7	exclusion code
N0857	7	exclusion code
N085M	7	exclusion code
N085N	7	exclusion code
N085Q	7	exclusion code
N086	7	exclusion code
N0989	7	exclusion code
N098D	7	exclusion code
N322	7	exclusion code
N3278	7	exclusion code
NyuD0	7	exclusion code
N300P	7	exclusion code
N071B	7	exclusion code
N072	7	exclusion code
N300P	7	exclusion code
N0106	8	exclusion code
N0108	8	exclusion code
N0109	8	exclusion code
N010A	8	exclusion code
N010x	8	exclusion code
N0146	8	exclusion code
N0148	8	exclusion code
N014x	8	exclusion code
N0156	8	exclusion code
N015x	8	exclusion code
N0166	8	exclusion code
N016x	8	exclusion code
N0176	8	exclusion code
N017x	8	exclusion code
N018	8	exclusion code
N01y6	8	exclusion code
N01yx	8	exclusion code
N01z6	8	exclusion code
N01zK	8	exclusion code
N01zx	8	exclusion code
N2308	8	exclusion code
N3006	8	exclusion code
N3009	8	exclusion code
N300Q	8	exclusion code
N300R	8	exclusion code
N300S	8	exclusion code
N3016	8	exclusion code
N3019	8	exclusion code
N301z	8	exclusion code
N3026	8	exclusion code
N3029	8	exclusion code
N302Q	8	exclusion code
N302R	8	exclusion code
N302S	8	exclusion code
N302T	8	exclusion code
N302Z	8	exclusion code
N302b	8	exclusion code
N3054	8	exclusion code
N3056	8	exclusion code
N3065	8	exclusion code
N3076	8	exclusion code
N3079	8	exclusion code
N30y6	8	exclusion code
N30y9	8	exclusion code
N30z6	8	exclusion code
N30z9	8	exclusion code
7L06	9	exclusion code
7L060	9	exclusion code
7L061	9	exclusion code
7L062	9	exclusion code
7L063	9	exclusion code
7L064	9	exclusion code
7L06y	9	exclusion code
7L06z	9	exclusion code
P1	9	exclusion code
P10	9	exclusion code
P100	9	exclusion code
P1000	9	exclusion code
P1001	9	exclusion code
P1002	9	exclusion code
P1003	9	exclusion code
P100z	9	exclusion code
P102	9	exclusion code
P1020	9	exclusion code
P1021	9	exclusion code
P1022	9	exclusion code
P1023	9	exclusion code
P1024	9	exclusion code
P102z	9	exclusion code
P103	9	exclusion code
P1030	9	exclusion code
P1031	9	exclusion code
P1032	9	exclusion code
P1033	9	exclusion code
P1034	9	exclusion code
P103z	9	exclusion code
P104	9	exclusion code
P105	9	exclusion code
P10y	9	exclusion code
P10y0	9	exclusion code
P10yz	9	exclusion code
P10z	9	exclusion code
P11	9	exclusion code
P110	9	exclusion code
P1100	9	exclusion code
P1101	9	exclusion code
P1102	9	exclusion code
P1103	9	exclusion code
P110z	9	exclusion code
P111	9	exclusion code
P1110	9	exclusion code
P1111	9	exclusion code
P1112	9	exclusion code
P111z	9	exclusion code
P112	9	exclusion code
P1120	9	exclusion code
P1121	9	exclusion code
P1122	9	exclusion code
P1123	9	exclusion code
P112z	9	exclusion code
P113	9	exclusion code
P1130	9	exclusion code
P1131	9	exclusion code
P1132	9	exclusion code
P1133	9	exclusion code
P113z	9	exclusion code
P114	9	exclusion code
P1140	9	exclusion code
P1141	9	exclusion code
P1142	9	exclusion code
P1143	9	exclusion code
P114z	9	exclusion code
P115	9	exclusion code
P1150	9	exclusion code
P1151	9	exclusion code
P1152	9	exclusion code
P1153	9	exclusion code
P115z	9	exclusion code
P116	9	exclusion code
P1160	9	exclusion code
P1161	9	exclusion code
P1162	9	exclusion code
P1163	9	exclusion code
P116z	9	exclusion code
P117	9	exclusion code
P1170	9	exclusion code
P1171	9	exclusion code
P1172	9	exclusion code
P1173	9	exclusion code
P1174	9	exclusion code
P117z	9	exclusion code
P118	9	exclusion code
P1180	9	exclusion code
P1181	9	exclusion code
P1182	9	exclusion code
P1183	9	exclusion code
P1184	9	exclusion code
P118z	9	exclusion code
P11y	9	exclusion code
P11z	9	exclusion code
P1z	9	exclusion code
F22	9	exclusion code
F220	9	exclusion code
F221	9	exclusion code
F222	9	exclusion code
F223	9	exclusion code
F22z	9	exclusion code
F23	9	exclusion code
F230	9	exclusion code
F2300	9	exclusion code
F2301	9	exclusion code
F230z	9	exclusion code
F231	9	exclusion code
F232	9	exclusion code
F233	9	exclusion code
F234	9	exclusion code
F23y	9	exclusion code
F23y0	9	exclusion code
F23y1	9	exclusion code
F23y2	9	exclusion code
F23y3	9	exclusion code
F23y4	9	exclusion code
F23y5	9	exclusion code
F23y6	9	exclusion code
F23yz	9	exclusion code
F23z	9	exclusion code
F24	9	exclusion code
F240	9	exclusion code
F2401	9	exclusion code
F241	9	exclusion code
F2410	9	exclusion code
F2411	9	exclusion code
F243	9	exclusion code
F2460	9	exclusion code
F2461	9	exclusion code
F2A	9	exclusion code
F2Az	9	exclusion code
F2B	9	exclusion code
F2B0	9	exclusion code
F2B1	9	exclusion code
F2B2	9	exclusion code
F2By	9	exclusion code
F2Bz	9	exclusion code
F1370	9	exclusion code
F1371	9	exclusion code
Fyu90	9	exclusion code
G669	9	exclusion code
Fyu9	9	exclusion code
F2400	9	exclusion code
S310	10	exclusion code
S3100	10	exclusion code
S3101	10	exclusion code
S310z	10	exclusion code
S311	10	exclusion code
S3110	10	exclusion code
S3111	10	exclusion code
S311z	10	exclusion code
S314	10	exclusion code
S31z	10	exclusion code
S330	10	exclusion code
S3300	10	exclusion code
S3301	10	exclusion code
S3302	10	exclusion code
S3303	10	exclusion code
S3304	10	exclusion code
S3305	10	exclusion code
S3307	10	exclusion code
S330z	10	exclusion code
S331	10	exclusion code
S3310	10	exclusion code
S3311	10	exclusion code
S3312	10	exclusion code
S3313	10	exclusion code
S3314	10	exclusion code
S3315	10	exclusion code
S3317	10	exclusion code
S331z	10	exclusion code
S332	10	exclusion code
S3320	10	exclusion code
S3321	10	exclusion code
S3322	10	exclusion code
S332z	10	exclusion code
S333	10	exclusion code
S3330	10	exclusion code
S3331	10	exclusion code
S3332	10	exclusion code
S333z	10	exclusion code
S334	10	exclusion code
S3340	10	exclusion code
S3341	10	exclusion code
S335	10	exclusion code
S3350	10	exclusion code
S3351	10	exclusion code
S337	10	exclusion code
S339	10	exclusion code
S3390	10	exclusion code
S3391	10	exclusion code
S33C	10	exclusion code
S33x	10	exclusion code
S33x0	10	exclusion code
S33x1	10	exclusion code
S33x2	10	exclusion code
S33xz	10	exclusion code
S33y	10	exclusion code
S33y0	10	exclusion code
S33y1	10	exclusion code
S33y2	10	exclusion code
S33yz	10	exclusion code
S33z	10	exclusion code
NyuCE	10	exclusion code
X00Bx	11	exclusion code
X00By	11	exclusion code
X00Bz	11	exclusion code
X00C0	11	exclusion code
X00C1	11	exclusion code
F350	11	exclusion code
SJ60	11	exclusion code
SJ600	11	exclusion code
SJ601	11	exclusion code
Xa6qE	11	exclusion code
Xa6qG	11	exclusion code
SJ61	11	exclusion code
SJ610	11	exclusion code
SJ611	11	exclusion code
F352	11	exclusion code
SJ63	11	exclusion code
SJ630	11	exclusion code
SJ631	11	exclusion code
SJ632	11	exclusion code
SJ633	11	exclusion code
SJ634	11	exclusion code
SJ635	11	exclusion code
F357	11	exclusion code
SJ65	11	exclusion code
SJ66	11	exclusion code
SJ660	11	exclusion code
SJ6y	11	exclusion code
SJ6z	11	exclusion code
F358	11	exclusion code
S5U0	11	exclusion code
SA125	11	exclusion code
S3x	12	exclusion code
S3x0	12	exclusion code
S3x1	12	exclusion code
S3x2	12	exclusion code
S3x3	12	exclusion code
S3xz	12	exclusion code
S3y	12	exclusion code
S3y0	12	exclusion code
N0615	1	exclusion code
N0616	1	exclusion code
N0617	1	exclusion code
N061K	1	exclusion code
N061N	1	exclusion code
N061P	1	exclusion code
N061Q	1	exclusion code
N0625	1	exclusion code
N0626	1	exclusion code
N0627	1	exclusion code
N0635	1	exclusion code
N0636	1	exclusion code
N0637	1	exclusion code
N080C	1	exclusion code
N0635	1	exclusion code
N0636	1	exclusion code
N0637	1	exclusion code
N0639	1	exclusion code
ZV45R	2	exclusion code
7K300	2	exclusion code
7K60.	2	exclusion code
7K600	2	exclusion code
7K601	2	exclusion code
7K602	2	exclusion code
7K603	2	exclusion code
7K60x	2	exclusion code
7K60y	2	exclusion code
7K60z	2	exclusion code
7K610	2	exclusion code
7K611	2	exclusion code
7K612	2	exclusion code
7K613	2	exclusion code
7K61x	2	exclusion code
7K61y	2	exclusion code
7K61z	2	exclusion code
7K620	2	exclusion code
7K62y	2	exclusion code
7K62z	2	exclusion code
7K63.	2	exclusion code
7K630	2	exclusion code
7K631	2	exclusion code
7K632	2	exclusion code
7K63y	2	exclusion code
7K640	2	exclusion code
7K641	2	exclusion code
7K64y	2	exclusion code
7K65.	2	exclusion code
7K650	2	exclusion code
7K651	2	exclusion code
7K652	2	exclusion code
7K65y	2	exclusion code
7K691	2	exclusion code
7K6c.	2	exclusion code
7K6c0	2	exclusion code
7K6c1	2	exclusion code
7K6c2	2	exclusion code
7K6cx	2	exclusion code
7K6cy	2	exclusion code
7K6cz	2	exclusion code
7K6d.	2	exclusion code
7K6d0	2	exclusion code
7K6d1	2	exclusion code
7K6d2	2	exclusion code
7K6dx	2	exclusion code
7K6dy	2	exclusion code
7K6dz	2	exclusion code
7K6e.	2	exclusion code
7K6e0	2	exclusion code
7K6e1	2	exclusion code
7K6e2	2	exclusion code
